quote,movie,type,year
Ye best start believin in ghost stories Miss Turner. Yer in one.,Pirates of the Carribean,movie,2003
This is the day you will always remember as the day you almost caught Captain Jack Sparrow,Pirates of the Caribbean: The Curse of the Black Pearl,movie,2003
You sit on a throne of lies.,Elf,movie,2003
To me you are perfect.,Love Actually,movie,2003
I will not say: do not weep; for not all tears are an evil.,The Lord of the Rings: Return of the King,movie,2003
I want to change things. I want to believe that anything can be changed. The moment I met you a new world opened up for me. You see after wandering in the darkness for so long a light brought me happiness. Its all thanks to you.,Chrono Crusade,anime,2003
The thing about romance is people only get together right at the very end.,Love Actually,movie,2003
Why are you trying so hard to fit in when you were born to stand out?,What A Girl Wants,movie,2003
Were goin streaking!,Old School,movie,2003
Youre my boy Blue!,Old School,movie,2003
That theres some good in this world Mr. Frodo. and its worth fighting for.,The Lord of the Rings: The Two Towers,movie,3003
Just keep swimming.,Finding Nemo,movie,2003
The problem is not the problem. The problem is your attitude about the problem. Do you understand?,Pirates of the Carribean,movie,2003
Not all treasure is silver and gold mate,Pirates of the Carribean,movie,2003
The ones that love us never really leave us.,Harry Potter and the Prisoner of Azkaban,movie,2004
Boo you whore!,Mean Girls,movie,2004
I want to play a game.,Saw,movie,2004
Stop trying to make fetch happen. Its not going to happen.,Mean Girls,movie,2004
Its like I have ESPN or something.,Mean Girls,movie,2004
We should totally just stab Caesar!,Mean Girls,movie,2004
Whatever. Im getting cheese fries.,Mean Girls,movie,2004
That is so fetch!,Mean Girls,movie,2004
You gonna eat your tots?,Napoleon Dynamite,movie,2004
You gotta hear this one song. Itll change your life I swear.,Garden State,movie,2004
A day may come when the courage of men fails… but it is not THIS day.,The Lord of the Rings: Return of the King,movie,2004
Thats why her hair is so big.  Its full of secrets.,Mean Girls,movie,2004
Youve got red on you,Shaun of the Dead,movie,2004
Nobody makes me bleed my own blood. Nobody!,Dodgeball: A True Underdog Story,movie,2004
I am gonna kill Bill.,Kill Bill,movie,2004
Is butter a carb?,Mean Girls,movie,2004
I solemnly swear that I am up to no good.,Harry Potter and the Prisoner of Azkaban,movie,2004
Im not drinking any f****** Merlot!,Sideways,movie,2004
Your identity is your most valuable possession. Protect it.,The Incredibles,movie,2004
Nunchuck skills… bowhunting skills… computer hacking skills… Girls only want boyfriends who have great skills!,Napoleon Dynamite,movie,2004
No I shot him. Bullets and the fall killed him.,Collateral,movie,2004
Theyve done studies you know. 60% of the time it works every time.,Anchorman,movie,2004
I wish I could bake a cake filled with rainbows and smiles and everyone would eat and be happy.,Mean Girls,movie,2004
Four for you Glen Coco! You go Glen Coco!,Mean Girls,movie,2004
Theres a 30% chance that its already raining.,Mean Girls,movie,2004
She doesnt even go here!,Mean Girls,movie,2004
You gotta hear this one song. Itll change your life I swear.,Golden State,movie,2004
I love lamp.,Anchorman: The Legend of Ron Burgundy,movie,2004
You have bewitched me body and soul.,Pride and Prejudice,movie,2005
Life is a banquet and most poor suckers are starving to death!,Auntie Mame,movie,2005
And a hero is a person who resigns to be forgotten as we forget the dead for revolution.,Gie,movie,2005
If you want to know what a mans like take a good look at how he treats his inferiors not his equals.,Harry Potter and the Goblet of Fire,movie,2005
Did you ever hear the tragedy of Darth Plagueis The Wise? I thought not. Its not a story the Jedi would tell you. Its a Sith legend.,Star Wars: Episode III – Revenge of the Sith,movie,2005
I am the Jewish James Bond!,Munich,movie,2005
Why do we fall? So we can learn to pick ourselves up.,Batman begins,movie,2005
You know how I know that youre gay?,The 40YearOld Virgin,movie,2005
Life is not the amount of breaths you take. Its the moments that take your breath away.,Hitch,movie,2005
I wish I knew how to quit you.,Brokeback Mountain,movie,2005
I am the senate!,Star Wars: Episode III – Revenge of the Sith,movie,2005
Its not who I am underneath but what I do that defines me,Batman Begins,movie,2005
Didnt I tell you about the football field in the bathroom cupboard?,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,movie,2005
Why do we fall sir? So that we can learn to pick ourselves up.,Batman Begins,movie,2005
Whats comin will come and well meet it when it does.,Harry Potter and the Goblet of Fire,movie,2005
Happiness is the most insidious prison of all Evey.,V for Vendetta,movie,2005
Alls fair in Love and Basketball baby,Love and Basketball,movie,2005
Be it a stone or a grain of sand in water they both sink.,OldBoy,movie,2005
They dont know that we know they know we know.,Friends,tv,2005
Thats what she said.,The Office,tv,2005
Im sorry father for you there is only death. But our destiny is life!,The Fountain,movie,2006
If you aint first youre last.,Taladega Nights,movie,2006
Walk that walk and go forward all the time. Dont just talk that talk walk it and go forward. Also the walk didnt have to be long strides; baby steps counted too. Go forward.,The Pursuit of Happyness,movie,2006
I cant really remember when I last had any hope and I certainly cant remember when anyone else did either. Because really since women stopped being able to have babies whats left to hope for?,Children Of Men,movie,2006
Yknow that ringing in your ears? That eeeeeeeeee? Thats the sound of the ear cells dying like their swan song. Once its gone youll never hear that frequency again. Enjoy it while it lasts.,Children Of Men,movie,2006
Lifes simple. You make choices and you dont look back.,The Fast and The Furious: Tokyo Drift,movie,2006
Im gonna say what any man with two penises would say when his tailor asks him if he dresses right or left... Yes.,Lucky Number Slevin,movie,2006
People cant do somethin themselves they wanna tell you you cant do it. If you want somethin go get it. Period. ,The pursuit of Happyness,movie,2006
Speed. I am speed.,Cars,movie,2006
Im just one stomach flu away from my goal weight.,Devil wears Prada,movie,2006
